object_name,object_type,collection,collections,parent,parent_type,parent_bone,location,rotation_mode,rotation_euler_radians,rotation_quaternion,scale,dimensions,material_names,custom_properties,instance_id
AREA_1F_AUDITORIUM,MESH,Areas,"[""Areas""]",,,,"[1775.0,1945.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[255.0,370.0,70.0]","[510.0,740.0,140.0]",[],"{""instance_id"":""amidst:school:object:10f6db37-9551-5029-aed2-cde0356af287""}",amidst:school:object:10f6db37-9551-5029-aed2-cde0356af287
AREA_1F_CLASS101,MESH,Areas,"[""Areas""]",,,,"[360.0,430.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],"{""instance_id"":""amidst:school:object:dde78097-fe97-5d98-b02f-4faa5a9fe8b2""}",amidst:school:object:dde78097-fe97-5d98-b02f-4faa5a9fe8b2
AREA_1F_CLASS102,MESH,Areas,"[""Areas""]",,,,"[360.0,835.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],"{""instance_id"":""amidst:school:object:8f3c662f-87eb-586b-9231-6df5f9dd27f3""}",amidst:school:object:8f3c662f-87eb-586b-9231-6df5f9dd27f3
AREA_1F_CLASS103,MESH,Areas,"[""Areas""]",,,,"[360.0,1240.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],"{""instance_id"":""amidst:school:object:004294d3-d50b-521a-91b6-5716b87c3b37""}",amidst:school:object:004294d3-d50b-521a-91b6-5716b87c3b37
AREA_1F_CLASS104,MESH,Areas,"[""Areas""]",,,,"[360.0,1640.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],"{""instance_id"":""amidst:school:object:eff7ba67-a1ed-5617-838e-99a80551d92d""}",amidst:school:object:eff7ba67-a1ed-5617-838e-99a80551d92d
AREA_1F_COURTYARD,MESH,Areas,"[""Areas""]",,,,"[1010.0,1250.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[340.0,330.0,70.0]","[680.0,660.0,140.0]",[],"{""instance_id"":""amidst:school:object:13f53e56-ea4b-54bc-9833-0b63856ddcd7""}",amidst:school:object:13f53e56-ea4b-54bc-9833-0b63856ddcd7
AREA_1F_ELEVATOR,MESH,Areas,"[""Areas""]",,,,"[1010.0,800.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[80.0,100.0,70.0]","[160.0,200.0,140.0]",[],"{""instance_id"":""amidst:school:object:eac3ee85-c25e-5c27-96c4-c9bb6e6686ed""}",amidst:school:object:eac3ee85-c25e-5c27-96c4-c9bb6e6686ed
AREA_1F_LADYSROOM,MESH,Areas,"[""Areas""]",,,,"[295.0,2103.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],"{""instance_id"":""amidst:school:object:2d2edaea-223f-5727-b91b-515d98954b17""}",amidst:school:object:2d2edaea-223f-5727-b91b-515d98954b17
AREA_1F_MAIN_ENTRANCE,MESH,Areas,"[""Areas""]",,,,"[1060.0,400.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[110.0,105.0,70.0]","[220.0,210.0,140.0]",[],"{""instance_id"":""amidst:school:object:836e39c9-b1f6-544a-8438-69aa677046d6""}",amidst:school:object:836e39c9-b1f6-544a-8438-69aa677046d6
AREA_1F_MEETINGROOM,MESH,Areas,"[""Areas""]",,,,"[1630.0,1030.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[130.0,260.0,70.0]","[260.0,520.0,140.0]",[],"{""instance_id"":""amidst:school:object:884ab277-5f7f-53d5-8998-9d81a708c38c""}",amidst:school:object:884ab277-5f7f-53d5-8998-9d81a708c38c
AREA_1F_MENSROOM,MESH,Areas,"[""Areas""]",,,,"[427.0,2103.0,90.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],"{""instance_id"":""amidst:school:object:d39842e2-1c6a-502c-8a4b-380ccbff522a""}",amidst:school:object:d39842e2-1c6a-502c-8a4b-380ccbff522a
AREA_1F_OFFICE,MESH,Areas,"[""Areas""]",,,,"[1320.0,2010.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[175.0,300.0,70.0]","[350.0,600.0,140.0]",[],"{""instance_id"":""amidst:school:object:c4c69e23-4cf3-5284-9928-6f974ee467ba""}",amidst:school:object:c4c69e23-4cf3-5284-9928-6f974ee467ba
AREA_1F_RESTAURANT_A,MESH,Areas,"[""Areas""]",,,,"[720.0,402.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[215.0,90.0,70.58287811279297]","[430.0,180.0,141.16575622558594]",[],"{""instance_id"":""amidst:school:object:c5578b7d-63f2-532b-97a2-c70f54036b4d""}",amidst:school:object:c5578b7d-63f2-532b-97a2-c70f54036b4d
AREA_1F_RESTAURANT_B,MESH,Areas,"[""Areas""]",,,,"[1340.0,402.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[150.0,90.0,70.58287811279297]","[300.0,180.0,141.16575622558594]",[],"{""instance_id"":""amidst:school:object:44cd73e1-ce1e-5f9d-9211-3386c36fda55""}",amidst:school:object:44cd73e1-ce1e-5f9d-9211-3386c36fda55
