object_name,object_type,collection,collections,parent,parent_type,parent_bone,location,rotation_mode,rotation_euler_radians,rotation_quaternion,scale,dimensions,material_names,custom_properties,instance_id
AREA_1F_AUDITORIUM,MESH,Areas,"[""Areas""]",,,,"[1775.0,1945.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[255.0,370.0,70.0]","[510.0,740.0,140.0]",[],{},
AREA_1F_CLASS101,MESH,Areas,"[""Areas""]",,,,"[360.0,430.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_1F_CLASS102,MESH,Areas,"[""Areas""]",,,,"[360.0,835.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_1F_CLASS103,MESH,Areas,"[""Areas""]",,,,"[360.0,1240.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_1F_CLASS104,MESH,Areas,"[""Areas""]",,,,"[360.0,1640.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
AREA_1F_COURTYARD,MESH,Areas,"[""Areas""]",,,,"[1010.0,1250.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[340.0,330.0,70.0]","[680.0,660.0,140.0]",[],{},
AREA_1F_ELEVATOR,MESH,Areas,"[""Areas""]",,,,"[1010.0,800.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[80.0,100.0,70.0]","[160.0,200.0,140.0]",[],{},
AREA_1F_LADYSROOM,MESH,Areas,"[""Areas""]",,,,"[295.0,2103.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],{},
AREA_1F_MAIN_ENTRANCE,MESH,Areas,"[""Areas""]",,,,"[1060.0,400.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[110.0,105.0,70.0]","[220.0,210.0,140.0]",[],{},
AREA_1F_MEETINGROOM,MESH,Areas,"[""Areas""]",,,,"[1630.0,1030.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[130.0,260.0,70.0]","[260.0,520.0,140.0]",[],{},
AREA_1F_MENSROOM,MESH,Areas,"[""Areas""]",,,,"[427.0,2103.0,90.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[63.46648025512695,118.0,70.0]","[126.9329605102539,236.0,140.0]",[],{},
AREA_1F_OFFICE,MESH,Areas,"[""Areas""]",,,,"[1320.0,2010.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[175.0,300.0,70.0]","[350.0,600.0,140.0]",[],{},
AREA_1F_RESTAURANT_A,MESH,Areas,"[""Areas""]",,,,"[720.0,402.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[215.0,90.0,70.58287811279297]","[430.0,180.0,141.16575622558594]",[],{},
AREA_1F_RESTAURANT_B,MESH,Areas,"[""Areas""]",,,,"[1340.0,402.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[150.0,90.0,70.58287811279297]","[300.0,180.0,141.16575622558594]",[],{},
AREA_1F_SIDE_ENTRANCE,MESH,Areas,"[""Areas""]",,,,"[1600.0,1505.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[100.0,60.0,70.0]","[200.0,120.0,140.0]",[],{},
AREA_1F_STORAGE,MESH,Areas,"[""Areas""]",,,,"[1630.0,545.0,85.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[130.0,105.0,70.0]","[260.0,210.0,140.0]",[],{},
AREA_2F_BALCONY_LEFT,MESH,Areas,"[""Areas""]",,,,"[800.0,840.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[140.0,60.0,70.0]","[280.0,120.0,140.0]",[],{},
AREA_2F_BALCONY_RIGHT,MESH,Areas,"[""Areas""]",,,,"[1230.0,840.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[140.0,60.0,70.0]","[280.0,120.0,140.0]",[],{},
AREA_2F_CLASS201,MESH,Areas,"[""Areas""]",,,,"[360.0,430.0,230.0]",XYZ,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]","[128.0,195.0,70.0]","[256.0,390.0,140.0]",[],{},
